question,options,answer,solution
" Q.27. The word India came from the Indus, called ______ in Sanskrit. SSC CGL 12/12/2022 (1st Shift) ","['(a) Bhanuh ', '(b) Adya ', '(c) Sarvatr ', '(d) Sindhu ']",(d) Sindhu ,"Sol.27.(d) Sindhu (the local name of Indus). Other names of India: Bharat, Aryavarta, Hindustan, Tenjiku, and Jambudweep."
 Q.28. The duration of the Mesolithic period is from about ______ years ago to ____ years ago. SSC CGL 12/12/2022 (4th Shift) ,"['(a) 14000, 10000 ', '(b) 17000, 12000 ', '(c) 12000, 10000 ', '(d) 10000, 7000 ']","(c) 12000, 10000 ","Sol.28.(c) 12000, 10000 . The Mesolithic Period (Middle Stone Age) is the earliest Holocene culture. Feature : Microliths, technological innovations (bow and arrow for hunting, querns, grinders, etc.), Excavated sites (Tilwara, Bagor, Tarsang, Morkhana, Lekhahia, Birbhanpur, etc.). Paleolithic age (old stone age): Period - (500,000 – 10,000 BCE), Neolithic age (new stone age): Period - (7000 - 1000 BCE)."
 Q.29. Which of the following were NOT a part of a citadel in Harappan architecture? SSC CPO 10/11/2022 (Afternoon) ,"['(a) Storehouses for grains ', '(b) Great Bath for important people ', '(c) Fire altars for religious ceremonies ', '(d) Residential buildings for masses ']",(d) Residential buildings for masses ,"Sol.29.(d) A citadel is the core fortified area of a town. Harappan Civilization (Indus Valley Civilization or Bronze Age civilization), lasted from 2600 –1900 BCE was divided into the citadel and lower town. Rakhigarhi (Haryana) is the largest Harappan site in India."
 Q.30. What was the shape of the Great Bath of Mohenjo Daro? SSC MTS 15/07/2022 (Evening) ,"['(a) Rectangular ', '(b) Square ', '(c) Elliptical ', '(d) Circular ']",(a) Rectangular ,"Sol.30.(a) Rectangular. Findings of Mohenjo-Daro: Prepared Garments, Temple-like Palace, Pashupati seal, Statue of a dancing girl, Ivory weight balance, The Great Bath, The Great Granary, and Priest-king statue."
 Q.31. Most Harappan seals made of ____. SSC MTS 21/07/2022 (Evening) ,"['(a) Bricks ', '(b) Granite ', '(c) Steatite ', '(d) Brass ']",(c) Steatite ,"Sol.31.(c) Steatite (a kind of s oft stone). Some seals were also made of terracotta, gold, agate, chert, ivory, and faience. Two important seals were the Pashupati seal and the Unicorn seal."
 Q.32. A celt is ______ from the Neolithic period. SSC CGL 20/04/2022 (Morning) ,"['(a) a tomb ', '(b) a house ', '(c) a tool ', '(d) an urn ']",(c) a tool ,"Sol.32.(c) a tool . The term Neolithic Period refers to the last stage of the Stone Age. Three different periods: Palaeolithic (Old Stone Age), Mesolithic (Middle Stone Age), and Neolithic (New Stone Age). The Neolithic period is significant for its megalithic architecture, the spread of agricultural practices, and the use of polished stone tools."
 Q.33. ‘Microliths’ were ______ used by early humans. SSC MTS 06/10/2021 (Morning) ,"['(a) coins ', '(b) stone tools ', '(c) clothes ', '(d) earthen pots ']",(b) stone tools ,"Sol.33.(b) Stone tools . The microliths were used in spear points and arrowheads. These tools were used to cut, pound, crush, and access n ew foods—including meat from large animals."
 Q.34. Which of the following is a Palaeolithic site of archaeological importance in India? SSC MTS 06/10/2021 (Afternoon) ,"['(a) Chirand ', '(b) Burzahom ', '(c) Hunasagi ', '(d) Mehrgarh ']",(c) Hunasagi ,Sol.34.(c) Hunasagi is a palaeolithic site of archaeological importance in India. Some Old Stone Age stone-cutting equipment has been found and kept in the Hunasagi Gram Panchayat office.
 Q.35. Which of the following Harappan sites is located in Afghanistan? SSC MTS 12/10/2021 (Evening) ,"['(a) Shortughai ', '(b) Balakot ', '(c) Nageswar ', '(d) Kalibangan ']",(a) Shortughai ,"Sol.35.(a) Shortughai . Shortugai was a trading post of Harappan times and it seems to be connected with lapis lazuli mines located in the surrounding area. It also might have connections with Tin trade (found in Afghanistan) and camel trade, along with other Afghan valuables."
 Q.36. Which of the following sites of Indus valley civilization is not on the bank of river Indus? SSC CHSL 20/10/2020 (Morning) ,"['(a) Chanhudaro ', '(b) Mohenjodaro ', '(c) Ropar ', '(d) Kot-Diji ']",(c) Ropar ,"Sol.36.(c) Ropar is situated on the banks of the Sutlej River. Features - It was identified by excavations such as the steatite seal and marks on charred clay. Copper implements, as well as terracotta beads and bangles, were discovered. Vedic Age"
" Q.37. Asikni, which was a part of Sapta-Sindhu, is the name of which of the following rivers in present times ? SSC Stenographer 12/10/2023 (Afternoon) ","['(a) Jhelum ', '(b) Beas ', '(c) Chenab ', '(d) Ravi ']",(c) Chenab ,"Sol.37.(c) Chenab. Ancient names of Indian Rivers - Vitastata (Jhelum), Purushni (Ravi), Shatudri (Satluj), Vipasha (Beas), Sadanira (Gandak), Drishdvati (Ghaghara)."
 Q.38. Which of the following Vedas depicts the life of the early Vedic people of India and has a collection of 1028 hymns divided into 10 mandalas? S SC Stenographer 12/10/2023 (Evening) ,"['(a) Samaveda ', '(b) Atharvaveda ', '(c) Yajurveda ', '(d) Rigveda ']",(d) Rigveda ,"Sol.38.(d) Rigveda. There are 1028 mantras in the Rigveda which i nclude the unpromising Valakhilia hymns. T hey were composed in an archaic language (evolved into classical Sanskrit). The Rig Veda is the earliest of t he four Vedas and one of the most important texts of the Hindu tradition. It is a large collection of hymns in praise of the gods, which are chanted in various rituals. Other Vedas:- Samaveda (The earliest reference for singing), Yajurveda (It is also called the book of prayers), Atharvaveda (The book of magic and charms)."
" Q.39. Which of the following Vedas is found in two recensions, black and white, and is full of rituals to be performed publicly or individually? SSC Stenographer 13/10/2023 (Afternoon) ","['(a) Rigveda ', '(b) Atharvaveda ', '(c) Yajurveda ', '(d) Samaveda ']",(c) Yajurveda ,"Sol.39.(c) Yajurveda: Notable Upanishads of Yajurveda - Brihadaranyaka, Isha, Taittriya, Katha, and Maithri. The Rigveda - It also includes the famous Gayatri mantra and the Purusha Sukta. Atharva Veda (‘Book of magic spells’) - Has 730 hymns (Suktas), and 20 books (Khandas)."
 Q.40. Which of the following Gods acquires a new epithet ‘Lord of the Plough’ in the later Vedic period? SSC Stenographer 13/10/2023 (Evening) ,"['(a) Varuna ', '(b) Brahma ', '(c) Vishnu ', '(d) Indra ']",(d) Indra ,"Sol.40.(d) Indra is the Vedic god of thunder, lightning, rain, and war. Rig Veda contains about 250 hymns in praise of Indra, and was also considered as chief god in it. Varuna is the Vedic god of the ocean, cosmic order, and law."
" Q.41. The Vedic Aryans lived in the area called Sapt-Sindhu, which means area drained by seven rivers. One of t he rivers among the seven is Jhelum. What was its ancient name? SSC CGL 14/07/2023 (1st shift) ","['(a) Askini ', '(b) Parushni ', '(c) Vipash ', '(d) Vitasta ']",(d) Vitasta ,"Sol.41.(d) Vitasta. Sapta Sindhu rivers and their ancient/alternate names - Indus (Sindhu, Singi Khamban), Jhelum (Hydaspes), Chenab (Asikini, Chandrabhaga), Ravi (Parushni, Airavati), Beas (Vipasha, Hyphasis), Sutlej (Sutudri, Zarodros) and the Saraswati river. Punjab was known a s 'Sapta Sindhu' i n the Vedic literature."
 Q.42. A wealthy person in the early Vedic period was known as___________ SSC CGL 14/07/2023 (3rd shift) ,"['(a) Duhitri ', '(b) Gaveshna ', '(c) Gomat ', '(d) Ravi ']",(c) Gomat ,"Sol.42.(c) Gomat. Early Vedic Period (1500 - 1000 BC), also known as Rig Vedic Period. Later Vedic Period (1000 - 600 BC). Other Terminologies during Vedic Period: Rajan (Chief) was called Janasya Gopati or Gopa (Protector of Cows), Gavisthis or Gavenshana (Battle for Cows), Purohit (Chief priest and Minister), Senani (Leader of the Army), Samiti (General Assembly of p eople) and Sabha (Council of elders), Kula (Family), Kulapa (Head of the family), Visu (The group of villages commanded by ‘Vishayapati’), Gana (Assembly)."
 Q.43. In which of the following Vedas was Dasarajna war (the war o f t en kings) mentioned? SSC CGL 21/07/2023 (4th shift) ,"['(a) Yajurveda ', '(b) Samaveda ', '(c) Rigveda ', '(d) Atharvaveda ']",(c) Rigveda ,"Sol.43.(c) Rigveda (Book of Mantras) - The oldest of all Vedas (around 1500 BC); Has 10552 mantras, 1028 hymns and 10 mandalas (Mandalas 1 and 10 are the youngest and the longest books)."
" Q.44. Which of the following varnas primarily used to do cultivation, animal husbandry and trade during the later Vedic period? SSC CGL 25/07/2023 (2nd shift) ","['(a) Kshatriya ', '(b) Brahmana ', '(c) Shudra ', '(d) Vaishya ']",(d) Vaishya ,"Sol.44.(d) Vaishya. Vedic Age (1500-600 BC): Vedas (Rig, Yajur, Sama and Atharva) were composed in this period. Four Varnas : Brahmans (priests and teachers of law), Kshatriyas (warriors, kings, administrators), Vaishyas (merchant-traders), Shudras (artisans and laborers)."
 Q.45. The main (chief) social unit of t he Aryans was______ . SSC CGL 26/07/2023 (1st shift) ,"['(a) Rajan ', '(b) Parishad ', '(c) Gana ', '(d) Jana ']",(d) Jana ,"Sol.45.(d) Jana (Tribes) . Gana - Tribal or clan based assemblies, Parishad - A small body similar to Samitis/sabhas consisting exclusively of B rahmins, Rajan - A kind of Chief or King. Other terms used by Aryans : Ayas – Terms used for metals (copper/bronze), Kula – Family, Kulapas – Head of a family, Gramanis – Head of the village (Grama), Sangrihitri - Treasurer."
 Q.46. Which of t he four Vedas contains a collection of magic spells and charms t o fend off evil spirits and diseases? SSC CGL 26/07/2023 (2nd shift) ,"['(a) Rig Veda ', '(b) Sama Veda ', '(c) Yajur Veda ', '(d) Atharva Veda ']",(d) Atharva Veda ,"Sol.46.(d) Atharva Veda (‘Book of m agic spells’) - Has 730 hymns/suktas, 5987 mantras, and 2 0 books ( Khandas). Sama Veda (‘Book of Chant’) - The earliest reference for singing; 1875 verses. Yajur Veda (‘Book of Rituals’) - Has two types, Krishna (or black) and Shukla (or white). These four Vedas are also 'Samhitas' (a collection)."
 Q.47. The Purva Mimansa school of philosophy was founded by ________ in ancient India. Graduate Level 28/06/2023 (Shift - 3) ,"['(a) Vyasa ', '(b) Kapila ', '(c) Patanjali ', '(d) Jaimini ']",(d) Jaimini ,"Sol.47.(d) Jaimini. Purva Mimansa (‘Prior Study’) also known as Dharma Mimamsa and Karma Mimamsa (‘Study of Actions’). The six principal Hindu darshans are Samkhya, Yoga, Nyaya, Vaisheshika, Mimamsa, and Vedanta. Badarayana - Author of Brahma Sutra or Vedanta Sutra. Patanjali - Philosophy of Yoga sutra. Kapila - Philosophy of Sankhya. Vyasa - Author of the Mahabharata, Vedas and Puranas."
 Q.48. Which of t he following is the oldest text of ancient India? Higher Secondary 30/06/2023 (Shift - 2) ,"['(a) Mahabhashya ', '(b) Arthashastra ', '(c) Rig Veda ', '(d) Manu Smriti ']",(c) Rig Veda ,"Sol.48.(c) Rig Veda. Indra is the chief deity. Gayatri mantra (dedicated to Savitri) taken from Rig-Veda. Mahabhashya - Patanjali. Arthashastra - Chanakya. In 2007 , 30 Rig Veda manuscripts dating from 1800 to 1500 BC were included in the UNESCO's Memory of the World Register."
 Q.49. India was named 'Bharat' after the name of the Bharat clan. In which of the following Vedas is this clan first mentioned ? Matric Level 27/06/2023 (Shift - 1) ,"['(a) Atharvaveda ', '(b) Yajurveda ', '(c) Samaveda ', '(d) Rigveda ']",(d) Rigveda ,"Sol.49.(d) Rigveda. There are 1028 Suktas in 10 Mandals (Chapters). Mandalas - 1st and 10th mandals are the newest mandals. Chaturvarna (Brahmin, Kshatriya, Vaishya, Shudra) is mentioned for t he first time in Purusha S ukta o f 1 0th Mandal."
 Q.50. Four ashrams were recognised by Brahmins around the time when Jainism and Buddhism were becoming popular. Which of the following was NOT a recognised ashrama? SSC MTS 17/05/2023 (Evening) ,"['(a) Parmarth ', '(b) Vanaprastha ', '(c) Brahmacharya ', '(d) Grihastha ']",(a) Parmarth ,"Sol.50.(a) Parmarth. Ashram (A stage of life): There were four stages i n which the lives of people were divided - Brahmacharya, Grihastha, Vanaprastha, and Sanyasa. Men (Brahmin, Kshatriya and Vaishya) were allowed to follow the stages of the Ashram. Women were not allowed to study the Vedas, and they had to follow the ashramas chosen by their husbands."
 Q.51. Sanskrit is a part of a family of languages known as ___________ . SSC MTS 19/05/2023 (Afternoon) ,"['(a) Indo-European ', '(b) Indo-Asian ', '(c) Indo-Tibetan ', '(d) Indo-Dravidian ']",(a) Indo-European ,"Sol.51.(a) Indo-European - It includes Sanskrit, Assamese, Gujarati, Hindi, Kashmiri, and Sindhi."
 Q.52. How many Vedas are there in Indian literature of classical Hinduism? SSC CHSL 21/03/2023 (1st Shift) ,"['(a) Three ', '(b) Four ', '(c) One ', '(d) Two ']",(b) Four ,"Sol.52.(b) Four. T ypes of V edas: Rigveda, Samaveda, Y ajurveda, and Atharvaveda. Each Veda has four subdivisions - The Samhitas (mantras and benedictions), the Aranyakas (text on rituals, ceremonies, sacrifices and symbolic -sacrifices), the Brahmanas (commentaries on rituals, ceremonies and sacrifices), and the Upanishads (texts discussing meditation, philosophy and spiritual knowledge)."
 Q.53. How many Vedangas are there in total ? SSC CHSL 20/10/2020 (Afternoon) ,"['(a) Ten ', '(b) Six ', '(c) Five ', '(d) Two ']",(b) Six ,"Sol.53.(b) Six Vedangas are - Shiksha (Phonetics), Kalpa (Ritual Canon), Vyakaran (Grammar), Nirukta (Explanation), Chhanda (Vedic meter) and Jyotisha (Astrology)."
 Q.54. How many Mandalas are there in the Rigveda? Higher Secondary 02/08/2022 (Shift - 2) ,"['(a) Six ', '(b) Four ', '(c) Eight ', '(d) Ten ']",,"Sol.54. Ten m andals (books). Rig Veda is the oldest of the four Vedas. It is a collection of 10,600 verses and 1,028 hymns. The Famous G ayatri mantra is in Rig Veda Mandala 3. Each mandala consists of Suktas which are basically eulogies."
