question,options,answer,solution
" Q.11. The structural part of the Indian Constitution is, to a large extent, derived from the Act of _____________. SSC CHSL 14/08/2023 (4th shift) ","['(a) 1909 ', '(b) 1935 ', '(c) 1947 ', '(d) 1919 ']",(b) 1935 ,"Sol.11.(b) 1935. Government of India Act, 1935 provides the establishment of an All India federation consisting of provinces and princely states as units. It divided the powers between the centre and units in terms of three lists- Federal list, provincial list and the concurrent list. Jawaharlal Nehru called it a “machine with strong brakes but no engine”. He also called it a “Charter of Slavery”."
 Q.12. The constitution of India was adopted by the Constituent Assembly in the year _______. SSC MTS 09/05/2023 (Evening) ,"['(a) 1947 ', '(b) 1949 ', '(c) 1950 ', '(d) 1948 ']",(b) 1949 ,"Sol.12.(b) 1949. The Constitution was passed and adopted by the assembly on 26th November 1949, but it came into force on 26th January 1950. It took 2 years, 11 months, 18 days to frame the Constitution of India. The original text of the constitution had 395 Articles, 22 parts and 8 schedules. In 1934, the Indian National Congress made the demand for a Constituent Assembly. M N Roy first proposed the idea of a constituent assembly in 1934."
 Q.13. Who moved the Objective Resolution that was later adapted as the Preamble of the Constitution of India? SSC CGL 02/12/2022 (1st Shift) ,"['(a) Rajendra Prasad ', '(b) JB Kripalani ', '(c) Jawaharlal Nehru ', '(d) BR Ambedkar ']",(c) Jawaharlal Nehru ,"Sol.13.(c) Jawaharlal Nehru introduced the 'Objective Resolution' on 13 December 1946. This resolution enshrined the aspirations and values of the constitution-makers. Under this, the people of India were guaranteed social, economic and political justice, equality and fundamental freedoms. This resolution was unanimously adopted on 22 January 1947 and the Preamble to the Constitution is based on it."
 Q.14. The Constitution of India is a sovereign socialist secular democratic republic with a _____________system of government. SSC CGL 06/12/2022 (4th Shift) ,"['(a) unitary ', '(b) parliamentary ', '(c) monarchical ', '(d) presidential ']",(b) parliamentary ,"Sol.14.(b) Parliamentary system is a form of government where executives hold the power with the majority support of the legislature. In a presidential system, the head of the government leads an executive that is distinct from the legislature. A monarchy is a form of government in which a person, the monarch, is head of state for life or until abdication. A unitary system is composed of one central government that holds all the power."
 Q.15. The ceremony that marks the end of Republic Day celebrations is ________. SSC CGL 09/12/2022 (3rd Shift) ,"['(a) the beating retreat ceremony ', '(b) the fly-past by the Indian Air Force fighter aircraft ', '(c) the ‘At Home’ ceremony at Rashtrapati Bhawan ', '(d) the homage ceremony at National War Memorial ']",(a) the beating retreat ceremony ,"Sol.15.(a) Beating r etreat c eremony (end of Republic Day). The republic day celebrations are majorly divided into three parts (the Republic Day Parade, the Beating Retreat, and the Award Distributions). Republic Day marks the commencement of the Constitution of India on January 26th, 1950 . The opening Ceremony started with laying a wreath at the Amar Jawan Jyoti at India Gate."
 Q.16. All the _______ countries likely to have a Constitution. SSC CGL 12/12/2022 (1st Shift) ,"['(a) communist ', '(b) democratic ', '(c) oligarchic ', '(d) totalitarian ']",(b) democratic ,Sol.16.(b) democratic countries are most likely to have a constitution . All countries that have a constitution are not necessarily democratic. Democratic is a form of government in which the rulers are elected by the people. A Communist is a classless society with common ownership. Oligarchic - government b y few. A Totalitarian government has absolute power with no opposition (single-party dictatorship).
 Q.17. Which is NOT a unitary feature of the Constitution of India? Graduate Level 01/08/2022 ( Shift - 4 ) ,"['(a) Bicameral Legislature ', '(b) Integrated Judicial System ', '(c) Single Citizenship ', '(d) Appointment of the Governor by the President ']",(a) Bicameral Legislature ,"Sol.17.(a) Bicameral Legislature (legislative body w ith two houses). At the central level (Lok Sabha and Rajya Sabha). Other Unitary features of Indian Constitution: Single Constitution for Union and States, Common All-India Services, Inequality of Representation in the Council of States, Centralised Electoral Machinery, Special Powers of Council of State over State List, etc."
 Q.18. Which of the following is NOT a federal feature of the Indian Constitution ? SSC CHSL 27/05/2022 (Morning) ,"['(a) Dual Government ', '(b) Division of Powers ', '(c) All India Services ', '(d) Written Constitution ']",(c) All India Services ,"Sol.18.(c) All India Services. Federal Features of the Indian Constitution - Division of powers, Supremacy of the constitution, Written constitution, Rigid constitution, Independent Judiciary, Bi-cameral Legislature."
 Q.19. Who among the following described the Indian Constitution as ‘quasi federal’ ? SSC CHSL 03/06/2022 (Afternoon) ,"['(a) MV Pylee ', '(b) Gunnar Myrdal ', '(c) AV Dicey ', '(d) KC Wheare ']",(d) KC Wheare ,"Sol.19.(d) K.C. Wheare. Different scholars have different opinions on the federal structure of India - ‘bargaining federalism’ by Morris Jones, ‘co-operative federalism’ by Granville Austin, ‘federation with a centralising tendency’ by Ivor Jennings, etc."
" Q.20. With reference to the Constituent Assembly, which of the following statements is Correct? SSC CGL 11/04/2022 (Afternoon) ","['(a) The Constituent Assembly ratified India’s membership of the Commonwealth in May1947. ', '(b) The Constituent Assembly adopted the National Anthem in January 1950. ', '(c) The Constituent Assembly adopted the National Song in January 1948. ', '(d) The Constituent Assembly adopted the National Flag in July 1949. ']",(b) The Constituent Assembly adopted the National Anthem in January 1950. ,"Sol.20.(b) The National Anthem of India was adopted b y the constituent assembly on 24th January 1950. It was first sung on 27 December 1911 in the Kolkata session of INC. The Constituent Assembly ratified India’s membership of the Commonwealth in May 1949. On 24 Jan 1950, the Indian Constituent Assembly adopted ""Vande Mataram"" as a national song. On July 22, 1947, the Constituent Assembly adopted the Independent Indian National Flag. Q .21. How many female members were part of the Constituent Assembly that framed the Constitution of India? SSC CGL 11/04/2022 (Evening ) (a) 12 (b) 10 (c) 14 (d) 15 Sol.21.(d) 15. The Constituent Assembly was formed on 6 December 1946. The idea for a Constituent Assembly was proposed in 1934 by M. N. Roy."
 Q.22. Who was the chairman of the House Committee of the Constituent Assembly of India ? SSC CGL 18/04/2022 (Afternoon) ,"['(a) B Pattabhi Sitaramayy ', '(b) AV Thakkar ', '(c) JB Kripalani ', '(d) K.M. Munshi ']",(a) B Pattabhi Sitaramayy ,"Sol.22.(a) B Pattabhi Sitaramayya . In 1922, AV Thakkar founded the Bhil Seva Mandal. JB Kripalani was the president of Indian National Congress during Independence. K M Munshi - Founder of Bharatiya Vidya Bhavan (1938), Member of the Constituent Assembly of India, Minister for Agriculture & Food (1952–53)"
 Q.23. Alladi Krishnaswami Ayyar was t he chairman of the ______ of t he Constituent Assembly of India. SSC CGL 19/04/2022 (Morning) ,"['(a) Credential Committee ', '(b) Union Powers Committee ', '(c) Order of Business Committee ', '(d) Fundamental Rights Sub-Committee ']",(a) Credential Committee ,"Sol.23.(a) Credential Committee. Union Powers Committee - Jawaharlal Nehru, Order of Business Committee - K.M. Munshi, Fundamental Rights Sub - Committee - J.B. Kripalani."
" Q.24. The Constituent Assembly was recognised by Section ______ of the Indian Independence Act, 1947. SSC CGL 19/04/2022 (Afternoon) ","['(a) 6(2) ', '(b) 10(1) ', '(c) 12(2) ', '(d) 8(1) ']",(d) 8(1) ,Sol.24.(d) Section 8(1) .
 Q.25. GV Mavalankar was the Chairman of the ______ of the Constituent Assembly of India. SSC CGL 20/04/2022 (Morning) ,"['(a) Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas ', '(b) Committee on the Functions ', '(c) Order of Business Committee ', '(d) Ad hoc Committee on the National Flag ']",(b) Committee on the Functions ,"Sol.25.(b) Committee on the Functions. GV Mavalankar was the first speaker of Lok Sabha. Advisory Committee on Fundamental Rights, Minorities and Tribal and Excluded Areas- Vallabhbhai Patel. Ad hoc Committee on the National Flag - Rajendra Prasad."
 Q.26. When was t he Tenth Session of t he Constituent Assembly held? SSC CGL 20/04/2022 (Evening) ,"['(a) 6 - 17 October 1949 ', '(b) 14 - 31 July 1947 ', '(c) 4 November 1948 - 8 January 1949 ', '(d) 16 May - 16 June 1949 ']",(a) 6 - 17 October 1949 ,"Sol.26.(a) 6-17 October 1949. The Constituent Assembly took almost three years (two years, eleven months and eighteen days) to complete its historic task of drafting the Constitution for Independent India. During this period, it held eleven sessions covering a total of 165 days. First Session : 9-23 December, 1946, Eleventh Session : 14-26 November, 1949."
 Q.27. Who among the following became a part of the Constituent Assembly from Madras Constituency in 1946? SSC CGL 21/04/2022 (Morning) ,"['(a) Ammu Swaminathan ', '(b) Hansa Jivraj Mehta ', '(c) Kamla Chaudhry ', '(d) Begum Aizaz Rasul ']",(a) Ammu Swaminathan ,Sol.27.(a) Ammu Swaminathan . He was involved in the Quit India Movement in 1942. Dr. Rajendra Prasad was elected as the president and its vice-president was Harendra Coomar Mookerjee.
 Q.28. What is the minimum age prescribed by the Constitution of India for appointment as Governor of a State? SSC MTS 22/10/2021 (Afternoon) ,"['(a) 35 years ', '(b) 21 years ', '(c) 25 years ', '(d) 30 years ']",(a) 35 years ,Sol.28.(a) 35 years. Article 153 states that each state will have a Governor. Articles from 153 to 167 in Part VI o f t he constitution deal with the state executive.
" Q.29. The total membership of the Constituent Assembly was 389, of w hich ______ were representatives of princely states. SSC CGL 18/08/21 (Evening) ","['(a) 84 ', '(b) 102 ', '(c) 109 ', '(d) 93 ']",(d) 93 ,"Sol.29.(d) 93. The total membership of the Constituent Assembly was 389, of which 292 were representatives of the provinces, 93 represented the princely states and 4 were from the chief commissioner provinces of Delhi, Ajmer-Merwara, Coorg and British Baluchistan."
 Q.30. The members of the Constituent Assembly signed the Constitution of India on ______. SSC CHSL 16/04/21 (Afternoon) ,"['(a) 26 November 1948 ', '(b) 24 January 1950 ', '(c) 26 November 1949 ', '(d) 24 January 1952 ']",(b) 24 January 1950 ,"Sol.30.(b) 2 4 January 1950. On that day, the last meeting of the Constituent Assembly was held and the 'Constitution of India' ( with 395 Articles, 8 schedules, 22 parts) was signed and accepted by all."
" Q.31. In 1946, who among the following was made the interim president of the Indian Constituent Assembly? SSC CPO 23/11/2020 (Evening) ","['(a) Sarojini Naidu ', '(b) Sachchidananda Sinha ', '(c) S Subramaniya Iyer ', '(d) Sachindra Nath Sanyal ']",(b) Sachchidananda Sinha ,"Sol.31.(b) Sachchidananda Sinha . He was from Arrah, Bihar. Dr Rajendra Prasad was elected the permanent president of the Constituent Assembly on December 11 ,1946."
 Q.32. Who described the preamble of Indian Constitution as the 'Political horoscope of the Indian Constitution'? SSC CHSL 13/10/2020 (Morning) ,"['(a) NA Palkhiwala ', '(b) Kanhaiyalal Maniklal Munshi ', '(c) Thakurdas Bhargav ', '(d) Bhimrao Ramji Ambedkar ']",(b) Kanhaiyalal Maniklal Munshi ,Sol.32.(b) Kanhaiyalal Maniklal Munshi
 Q.33. When was the first Constituent Assembly election held in India? SSC CHSL 13/10/2020 (Afternoon) ,"['(a)1947 ', '(b)1946 ', '(c)1949 ', '(d)1948 ']",(b)1946 ,"Sol.33.(b) 1946. The Constituent Assembly appointed a total o f 13 committees to deal with different tasks of constitution making. Out of these, 8 were major committees and the other were minor committees. The Provincial Constitution Committee was headed by Sardar Vallabhbhai Patel."
 Q.34. In which year did Motilal Nehru (Chairman) and eight other Congress leaders draft a constitution for India? SSC CHSL 13/10/2020 (Evening) ,"['(a) 1925 ', '(b) 1950 ', '(c) 1928 ', '(d) 1930 ']",(c) 1928 ,"Sol.34.(c) 1928. The Motilal Nehru Report 1928 was made by a committee headed by Pt. Motilal Nehru. This committee was created when Lord Birkenhead, Secretary of State of India asked the Indian leaders to draft a c onstitution for the country. Sources of Indian Constitution"
 Q.35. The Directive Principles of State Policy are an adaptation from which of the following Constitutions? SSC Stenographer 13/10/2023 (Evening) ,"['(a) UK Constitution ', '(b) Irish Constitution ', '(c) USSR Constitution ', '(d) Polish Constitution ']",(b) Irish Constitution ,"Sol.35.(b) Irish Constitution. Sources of Indian Constitution : Ireland - Method of Election of President, the nomination of members to Rajya Sabha by the President. Russian Constitution - Fundamental Duties. Japanese Constitution - The procedure established by law."
" Q.36. From which country has the concept of Martial Law, which restricts Fundamental rights, borrowed? SSC CPO 03/10/2023 (Afternoon) ","['(a) China ', '(b) The UK ', '(c) Japan ', '(d) The USSR ']",(b) The UK ,Sol.36.(b) The UK. The expression ‘martial law’ has not been defined anywhere in the Constitution. It refers to the suspension of ordinary law and the government by military tribunals.
 Q.37. The provision of fundamental duties in the Indian Constitution is inspired by ____________ . SSC CPO 05/10/2023 (Morning) ,"['(a) the constitution of USA ', '(b) the constitution of France ', '(c) the constitution of Canada ', '(d) the constitution of USSR ']",(d) the constitution of USSR ,"Sol.37.(d) The constitution of the USSR. Sources of Indian Constitution: United States of America - Fundamental Rights, Preamble."
 Q.38. The Fundamental Rights in the Indian Constitution are inspired by the 'Bill of Rights' of which of the following countries? SSC CPO 05/10/2023 (Afternoon) ,"['(a) The USSR ', '(b) Japan ', '(c) Australia ', '(d) The USA ']",(d) The USA ,"Sol.38.(d) The USA. Sources of the Indian Constitution: France - Ideals of Liberty, Equality and Fraternity in the Preamble. Australia - Freedom of Trade and Commerce, Concurrent List. South Africa - Election of Rajya Sabha members, Procedure for amendment in the constitution."
 Q.39. The provision for the post of Vice-President in the Indian Constitution was taken from _______. SSC CHSL 03/08/2023 (3rd shift) ,"['(a) France ', '(b) United States of America ', '(c) Ireland ', '(d) Japan ']",(b) United States of America ,"Sol.39.(b) United States of America. US Constitution - The position of Vice President, Judicial Review, Independent Judiciary, removal of the High court and Supreme court judges, and fundamental rights."
 Q.40. In the Indian constitution the concept of ‘equality before law’ is borrowed from the _____ constitution. SSC CHSL 07/08/2023 (1st shift) ,"['(a) British ', '(b) Canadian ', '(c) US ', '(d) Irish ']",(a) British ,"Sol.40.(a) British. Article 14: Equality before the law. 'Equality before law' connotes: the absence of any special privileges in favour of any person, the equal subjection of all persons to the ordinary law of the land administered by ordinary law courts, and no person is above the law."
 Q.41. India is a parliamentary democracy based on the Westminster model of _________ . SSC CHSL 10/08/2023 (3rd shift) ,"['(a) the United States of America ', '(b) South Africa ', '(c) France ', '(d) the United Kingdom ']",(d) the United Kingdom ,"Sol.41.(d) The United Kingdom. Countries where the Westminster model is used - Britain, Canada, New Z ealand as well as in many parts of t he Pacific, Asia and Africa. British - Parliamentary form of government, The idea of single citizenship, The idea of the Rule of law, Writs, Institution of Speaker and his role, Law making procedure, The Political Part of the Indian Constitution, Bicameralism."
" Q.42. T he concept of ""Republic"" in the Indian Constitution was borrowed from the constitution of which of the following countries ? SSC MTS 19/06/2023 (Evening) ","['(a) Germany ', '(b) France ', '(c) Australia ', '(d) Japan ']",(b) France ,"Sol.42.(b) France : Concept of Republic, Ideals of Liberty, equality and fraternity. Provisions borrowed from other countries: Suspension of fundamental rights during emergency - Germany."
" Q.43. The concept of "" Amendment of t he Constitution"" in the Indian Constitution was borrowed from the constitution of which of the following countries? SSC MTS 20/06/2023 (Afternoon) ","['(a) South Africa ', '(b) Germany ', '(c) Canada ', '(d) Australia ']",(a) South Africa ,"Sol.43.(a) South Africa. Article 368 of Part XX - ""Constitutional A mendment"". Indian Constitution Sources : South Africa - Election of members of Rajya Sabha. Australia - Concurrent List, Provisions of Freedom of Trade and Commerce within the country and between the states, and the joint sitting of both the houses of Parliament."
 Q.44. Which of the following provisions of the Indian constitution is borrowed from the Constitution of Canada? SSC CHSL 09/03/2023 (1st Shift) ,"['(a) Independence of judiciary ', '(b) Concept of Republic ', '(c) Advisory jurisdiction of the Supreme court ', '(d) Concept of concurrent list ']",(c) Advisory jurisdiction of the Supreme court ,"Sol.44.(c) Advisory jurisdiction of the Supreme court. Borrowed Features of Indian Constitution from Canada - Centrifugal form of federalism where the center is stronger than the states, To provide residuary powers to the Centre, Supreme Court’s advisory jurisdiction, and Appointment of state governors by the Centre. Article, Schedule, Parts and list"
" Q.45. Match the following subject matters with their concerned Articles. A B 1. Superintendence, A) Article 329 and direction control of elections to be Vested in an Election commission 2. Power of B) Article 324 provision parliament to make with respect to election to legislature 3. Bar of C) Article 327 courts in interference by electoral matters SSC CGL Tier II 26/10/2023 ","['(a) 1-C, 2-B, 3-A ', '(b) 1-A, 2-C, 3-B ', '(c) 1-A, 2-B, 3-C ', '(d) 1-B, 2-C, 3-A ']","(d) 1-B, 2-C, 3-A ","Sol.45.(d) 1-B, 2-C, 3-A. Article 325 - No person to be ineligible for inclusion in, or to claim to be included in a special, electoral roll on grounds of r eligion, race, caste or sex. Article 328 - Power of Legislature of a State to make provision with respect to elections to such Legislature."
 Q.46. Which Article deals w ith the election of the Vice President? SSC Stenographer 12/10/2023 (Morning) ,"['(a) Article 66 ', '(b) Article 74 ', '(c) Article 70 ', '(d) Article 52 ']",(a) Article 66 ,Sol.46.(a) Article 66. The post of Vice President of India is taken from the US Constitution. Article 64 - The Vice President to be ex officio Chairman of the Council of States. Article 70 - Discharge of President's functions in other contingencies.
 Q.47. Which article allows the state to make provisions for the upliftment of certain categories of people like socially and culturally backward classes and Scheduled caste and Scheduled Tribes? SSC Stenographer 12/10/2023 (Evening) ,"['(a) Article 15 ', '(b) Article 14 ', '(c) Article 16 ', '(d) Article 17 ']",(a) Article 15 ,Sol.47.(a) Article 15. Article 17- “Untouchability” is abolished and its practice in any form is forbidden.
" Q.48. Which Article of the Constitution of India mentions that “there shall be a Public Service Commission for t he Union and a Public Service Commission for each State” ? SSC Stenographer 13/10/2023 (Morning) ( a) 315 (4) (b) 315 (1) (c) 315 (3) (d) 315 (2) Sol.48.(b) Article 315 (1). Article 315 (2) - Two or more States may agree that there shall be one Public Service Commission for that group of States. Article 315 (3) - Any such law as aforesaid may contain such incidental and consequential provisions as may be necessary or desirable for giving effect to the purposes of the law. Article 315 (4) - UPSC can, if requested by a state government, conduct examinations and interviews to select candidates for state government jobs.","['', '', '', '']",,
 Q.49. Which of the following articles provides for ‘equal justice and free legal aid’? SSC Stenographer 13/10/2023 (Afternoon) ,"['(a) Article 43 B ', '(b) Article 48 A ', '(c) Article 39 A ', '(d) Article 43 A ']",(c) Article 39 A ,Sol.49.(c) Article 39 A. Part IV - Directive Principles of State Policy (Articles 36-51). Article 50 - Separation of j udiciary from executive. Article 43 A - Participation of workers in management of industries. Article 51 - Promotion of international peace and security.
 Q.50. Which of the following Articles of the Indian Constitution mentions that all executive actions of the Government o f India shall be expressed to be taken in the name of the President? SSC CPO 03/10/2023 (Evening) ,"['(a) Article 67 ', '(b) Article 77 ', '(c) Article 81 ', '(d) Article 48 ']",(b) Article 77 ,Sol.50.(b) Article 77. Other Article of t he Constitution: Article 67 - Term of o ffice o f Vice President. Article 81 - Composition of the House of the People. Article 48 - The organisation of agriculture and animal husbandry. Article 48A - Protection and improvement of environment and safeguarding of f orests and wildlife.
" Q.51. Which of the following Articles of the Constitution of India provides that the Governor appoints the Chief Minister and later, the Chief Minister recommends the appointment of ministers to the Governor? SSC CPO 04/10/2023 (Afternoon) ","['(a) Article 163 ', '(b) Article 165 ', '(c) Article 164 ', '(d) Article 167 ']",(c) Article 164 ,"Sol.51.(c) Article 164. Other Appointments by Governor: State Election Commissioner (Article 243 K), Vice-Chancellors of t he u niversities in the state (University Grants Commission (UGC) Regulations, 2018), Advocate General for the State (Article 165) etc. Article 163 - Council of Ministers to aid and advise the Governor of the State."
" Q.52. Which of the following Articles of the Indian Constitution empowers the Parliament to restrict or abrogate the fundamental rights of the members of the armed forces, paramilitary forces, police forces, intelligence agencies and analogous forces ? SSC CPO 04/10/2023 (Afternoon) ","['(a) Article 33 ', '(b) Article 31 ', '(c) Article 37 ', '(d) Article 35 ']",(a) Article 33 ,Sol.52.(a) Article 33. Fundamental rights are included in Part III (Article 12-35) of the Constitution. It is borrowed from the Constitution of the United States of America. It is described as the Magna Carta of I ndia. Article 35 - Power to make laws to give effect to certain specified fundamental rights shall vest only in the Parliament and not in the state legislatures.
 Q.53. Which Article of the Indian Constitution provides for equal opportunity for all citizens in the matter of employment under the state ? SSC CPO 04/10/2023 (Afternoon) ,"['(a) Article 17 ', '(b) Article 15 ', '(c) Article 18 ', '(d) Article 16 ']",(d) Article 16 ,Sol.53.(d) Article 16 - It comes under Right to Equality (Article 14 to 18) in the Part III (fundamental rights) of the C onstitution. Article 18 - Abolition of titles.
" Q.54. As per Article 361 of the Constitution of India, who among the following shall NOT be answerable to any court for the exercise and performance of the powers and duties of his/her office? SSC CPO 04/10/2023 (Evening) ","['(a) Secretary ', '(b) Chief Minister ', '(c) Prime Minister ', '(d) Governor ']",(d) Governor ,"Sol.54.(d) Governor. Article 361 - The President, or the Governor or Rajpramukh of a State, shall not be answerable to any court for the exercise and performance of the powers and duties of his office or for any act d one or purporting to be done by him in the exercise and performance."
 Q.55. Which schedule of t he Constitution of India contains provisions for disqualification of legislators on the ground of defection? SSC CPO 04/10/2023 (Evening) ,"['(a) Schedule-X ', '(b) Schedule-XI ', '(c) Schedule-VIII ', '(d) Schedule-IX ']",(a) Schedule-X ,"Sol.55.(a) Schedule-X: Popularly known as the Anti-Defection Act, was included in the Constitution via the 52nd Amendment Act, 1 985. Schedule-IX ( laws that are immune from judicial review) - It was added by the First Amendment Act, 1951."
 Q.56. Which Article of t he Constitution of India states that the Prime Minister is appointed by the President of India ? SSC CPO 05/10/2023 (Morning) ,"['(a) Article 74 ', '(b) Article 76 ', '(c) Article 73 ', '(d) Article 75 ']",(d) Article 75 ,"Sol.56.(d) Article 75: Other provision - Council of Ministers (COM) shall be appointed by the President on the advice of the Prime Minister; Total number of COM, including Prime minister shall not exceed fifteen percent of the total number of members of the House of t he People; COM shall be collectively responsible to the House of the People; President shall administer to him the oaths of office and of secrecy of C OM; A Person who is not a member of either House of Parliament, can become Ministers for any period of six consecutive months; The salaries and allowances of Ministers shall be such as Parliament may from time to time by law determine."
 Q.57. Articles 36 to 51 of the Indian Constitution deal with__________. SSC CPO 05/10/2023 (Afternoon) ,"['(a) fundamental duties ', '(b) fundamental rights ', '(c) preamble of Indian constitution ', '(d) directive principles of state policy ']",(d) directive principles of state policy ,"Sol.57.(d) directive principles of state policy. Article 38 - State to secure a social order for the promotion of w elfare of the people. Article 41 - Right to work, education and public assistance in certain cases."
 Q.58. Which Article of the Indian Constitution mentions that all the authorities— civil and judicial— in the territory of India shall act in aid of the Supreme Court? SSC CPO 05/10/2023 (Evening) ,"['(a) Article 143 ', '(b) Article 141 ', '(c) Article 144 ', '(d) Article 142 ']",(c) Article 144 ,"Sol.58.(c) Article 144. Article 143: Power of President to consult the Supreme Court. Article 142: Enforcement of decrees and orders of t he Supreme Court and o rders as to discovery, etc. Article 141: The law declared by the Supreme Court shall be binding on all courts within the territory of India."
