question,options,answer,solution
 Q.11. The moon moves around the earth in about ______ _ days. SSC MTS 14/06/2023 (Morning) ,"['(a) 21 ', '(b) 23 ', '(c) 27 ', '(d) 25 ']",(c) 27 ,"Sol.11.(c) 27. Moon is the only natural satellite of planet Earth. It takes 27 days, 7 hours and 43 minutes to complete one revolution around the Earth. Earth's Moon is the fifth largest m oon in the solar system (Largest - Ganymede of Jupiter). Distance - 384,400 kilometers from Earth."
 Q.12. Minal wrote an essay on the largest moon of Saturn. Which among the following moons is it? SSC MTS 19/06/2023 (Morning) ,"['(a) Atlas ', '(b) Titan ', '(c) Carme ', '(d) Europa ']",(b) Titan ,Sol.12.(b) Titan - The second-largest moon in our solar system. Ganymede (Jupiter’s moon ) is the largest moon in the solar system. Atlas - It is a satellite of Saturn which was discovered by Richard Terrile. Carme - It is one of the moons of Jupiter which was discovered by Seth Barnes Nicholson. Europa - It is the moon of Jupiter.
 Q.13. What is the radius of the earth? SSC CHSL 09/03/2023 (4th Shift) ,"['(a) 7456 km ', '(b) 6371 km ', '(c) 5619 km ', '(d) 4728 km ']",(b) 6371 km ,"Sol.13.(b) 6371 km. Earth Distance from the Sun (150 million km), Surface area: 510.1 million km², Land area: 149 million km², Gravity: 9.8 m/s²."
 Q.14. Which of the following constellations is also called the hunter? SSC CHSL 10/03/2023 (1st Shift) ,"['(a) Cassiopeia ', '(b) Leo Major ', '(c) Ursa Major ', '(d) Orion ']",(d) Orion ,"Sol.14.(d) Orion is located on the celestial equator and can be seen throughout the world. It is named after the hunter in Greek. Ursa Major or Great Bear: A constellation in the northern sky. The constellation Leo : Seen in the northern hemisphere in the spring. Cassiopeia : A large constellation located in the northern sky, named after Cassiopeia, the vain and boastful queen in greek. There are 88 constellations."
 Q.15. Which among the following is another word for universe? SSC CHSL 10/03/2023 (2nd Shift) ,"['(a) Big Crunch ', '(b) Astronomy ', '(c) Cosmos ', '(d) Supernova ']",(c) Cosmos ,"Sol.15.(c) Cosmos (Greek word) meaning both ""order"" and ""world"". Q.16 . Each orbit of the International Space Station (ISS) takes _____minutes . SSC CHSL 13/03/2023 (2nd Shift) (a) 80 - 82 (b) 85 - 87 (c) 90 - 93 (d) 83 - 86 Sol.16.(c) 90-93 . In 24 hours, the space station makes 16 orbits of Earth, traveling through 16 sunrises and sunsets."
 Q.17. In approximately how much time does Mars complete one spin on its axis? SSC CHSL 15/03/2023 (1st Shift) ,"['(a) 16 hours ', '(b) 8 hours ', '(c) 1 day 18 hours ', '(d) 1day ']",(d) 1day ,"Sol.17.(d) 1 d ay. R otation time of p lanets (Approx.): Earth (1 day - 23 hours 56 min), Jupiter (9 hours 56 minutes), Saturn (10 hours 4 0 minutes), Uranus (17 hours 14 minutes) and Neptune (16 hours)."
 Q.18. Which among the following is not a type of solar eclipse? SSC CHSL 15/03/2023 (4th Shift) ,"['(a) Annular ', '(b) Partial ', '(c) Penumbral ', '(d) Total ']",(c) Penumbral ,"Sol.18.(c) Penumbral (Lunar eclipse) . A solar eclipse occurs when the Moon passes between Earth and the Sun. Types of solar eclipse: Total (Completely blocking the face of t he Sun), Hybrid (the Moon is farther away from Earth, it appears smaller than the Sun and does not completely cover the Sun) and Annular (when Sun is at or near its farthest point from Earth)."
 Q.19. The distance of the Sun from the Earth is about ________ light minutes. SSC CHSL 20/03/2023 (2nd Shift) ,"['(a) 6 ', '(b) 4.3 ', '(c) 12 ', '(d) 8 ']",(d) 8 ,Sol.19.(d) 8. Interstellar distance: Distance between any two celestial bodies; measured in astronomical units (AU). Moon: 1.3 light-seconds away from the Earth. Proxima Centauri: 4.2 light-years from Sun. Light - year is the distance light travels in one year. 1 Light year = 63241 AU (approx).
 Q.20. The asteroid belt lies between which two planets ? SSC CHSL 21/03/2023 (3rd Shift) ,"['(a) Jupiter and Saturn ', '(b) Mars and Jupiter ', '(c) Saturn and Uranus ', '(d) Mercury and Venus ']",(b) Mars and Jupiter ,"Sol.20.(b) Mars and Jupiter. Asteroid Belt separates the inner and outer planets. Jupiter and Saturn, Uranus and Neptune are the Outer planets (Last four from the Sun) and also known as Jovian Planets. The first four planets (Mercury, Venus, Earth and Mars) are known as Inner or Terrestrial planets."
" Q.21. In early 1610, who discovered with his newly invented telescope that Jupiter has four moons? SSC CGL 06/12/2022 (4th Shift) ","['(a) Simon Marius ', '(b) Tycho Brahe ', '(c) Galileo Galilei ', '(d) Johannes Kepler ']",(c) Galileo Galilei ,"Sol.21.(c) Galileo Galilei. He was an Italian astronomer and scientist. He described the rings of S aturn, t he phases of Venus, sunsets, and the bumpy lunar surface. The four moons he discovered were: Io, Europa, Ganymede, and Callisto."
 Q.22. Who was the first to accurately describe the rings of Saturn as a disc around the planet in 1655? SSC CGL 06/12/2022 (4th Shift) ,"['(a) Hideki Yukawa ', '(b) Galileo Galilei ', '(c) Christiaan Huygens ', '(d) Giovanni Cassini ']",(c) Christiaan Huygens ,"Sol.22.(c) Christiaan Huygens. His other inventions: pendulum clock, Centrifugal governors and magic lantern."
" Q.23. The moon completes ______ rotation on its axis as it completes one revolution around the Earth. SSC CPO 09/11/2022 (Morning) ( a) 3 (b) 2 (c) 1 (d) 4 Sol.23.(c) 1. The Moon is Earth's only natural satellite circling the planet at an average distance of 384,400 kilometers. The Moon's presence helps stabilize our planet and moderate our climate. A single orbit of our planet takes the Moon 27.3 Earth days - The same amount of time it takes for the satellite to also rotate once on its axis. Huygens is the Moon's tallest mountain.","['', '', '', '']",,
" Q.24. Which of the following is a part of celestial objects? I. Stars , II. Planets , III. Moon SSC CPO 09/11/2022 (Evening) ","['(a) Only I and III ', '(b) Only I and II ', '(c) I, II and III ', '(d) Only II and III ']","(c) I, II and III ","Sol.24.(c) I, II and III. Celestial bodies (heavenly bodies) include: Planets, Stars, Satellites, Comets, Asteroids, Meteors and Meteorites, Galaxies. Halley's Comet (1P/Halley) is a short-period comet visible from Earth every 75–79 years."
" Q.25. Which of the following statements regarding the moon is correct? I. The size of the illuminated part of the moon visible from the Earth increases each day after the new moon day. II. After the full moon day, the sunlit part of the moon visible from the Earth decreases in size every day. SSC CPO 11/11/2022 (Afternoon) ","['(a) Both I and II ', '(b) Only I ', '(c) Neither I nor II ', '(d) Only II ']",(a) Both I and II ,"Sol.25.(a) Both I and II. When there are two full moons within a month, the second full moon is called a Blue Moon, When a full moon occurs at its perigee (the moon is closest to the earth) it is called a Supermoon."
 Q.26. Which of the following dwarf planets lies in the main asteroid belt ? SSC CGL 12/04/2022(Afternoon) ,"['(a) Eris ', '(b) Makemake ', '(c) Ceres ', '(d) Haumea ']",(c) Ceres ,Sol.26.(c) Ceres is a dwarf planet in the asteroid belt between the orbits of Mars and Jupiter. Eris i s the most m assive and one of t he largest known d warf planets in the Solar System. Haumea is a dwarf planet located beyond Neptune's orbit.
 Q.27. The ______ radiation belts are giant swaths of magnetically trapped highly energetic charged particles that surround Earth. SSC CGL 13/04/2022(Morning) ,"['(a) Van Allen ', '(b) Aurora ', '(c) Kuiper ', '(d) Chinook ']",(a) Van Allen ,"Sol.27.(a) Van Allen. An aurora is a natural phenomenon which is characterized by a display of a natural-coloured (green, red, yellow or white) light in the sky. Kuiper belt, flat ring of icy small bodies that revolve around the Sun beyond the orbit of the planet Neptune."
 Q.28. Which of the following celestial bodies has a natural satellite named ‘Charon’? SSC MTS 05/10/2021(Evening) ,"['(a) Haumea ', '(b) Pluto ', '(c) Mars ', '(d) Saturn ']",(b) Pluto ,Sol.28.(b) Pluto . Charon is known as Pluto. It is the largest of the five known natural satellites of the dwarf planet Pluto.
 Q.29. Which of the following is the windiest planet in the solar system? SSC MTS 14/10/2021(Evening) ,"['(a) Neptune ', '(b) Uranus ', '(c) Saturn ', '(d) Mars ']",(a) Neptune ,"Sol.29.(a) Neptune is the eighth and farthest-known Solar planet from the Sun. It is 17 times the mass of Earth. Neptune is dark, cold, and very windy."
 Q.30. In which of t he following periods is the meteor shower named Quadrantids generally visible from Earth? SSC MTS 20/10/2021(Afternoon) ,"['(a) August/September ', '(b) October/November ', '(c) May/June ', '(d) December/January ']",(d) December/January ,Sol.30.(d) December/January. The meteor shower named Quadrantids is generally visible from Earth . The Quadrantids can produce over 100 meteors per hour in a moonless sky.
 Q.31. In which of the following months may the meteor shower named Lyrids be seen from Earth? SSC MTS 20/10/2021(Afternoon) ,"['(a) April ( b) February (c) June (d) August Sol.31.(a) April. The radiant point for t he Lyrid meteor shower is near the constellation Lyra, which has the bright star Vega in the east.', '', '', '']",,
 Q.32. IC 1101 is a ______. SSC CHSL 06/08/2021(Evening) ,"['(a) asteroid ', '(b) galaxy ', '(c) supernova ', '(d) satellite ']",(b) galaxy ,Sol.32.(b) galaxy. I C 1101 is a supergiant elliptical galaxy at the center of t he Abell 2029 galaxy cluster and is one of the largest known galaxies.
 Q.33. The approximate period between two consecutive new moons is ___ days. SSC CPO 24/11/2020 (Morning) ,"['(a) 15.5 ', '(b) 28.5 ', '(c) 29.5 ', '(d) 15 ']",(c) 29.5 ,"Sol.33.(c) 29.5 days . The time interval between a full moon and the next repetition of the same phase, a synodic month, averages about 29.53 days."
 Q.34. What is the radius of the moon? SSC CHSL 19/03/2020 (Morning) ,"['(a) 1.78 × 10 6 m ', '(b) 1.79 × 10 6 m ', '(c) 1.74 × 10 5 m ', '(d) 1.74 × 10 6 m ']",(d) 1.74 × 10 6 m ,"Sol.34.(d) 1.74 × 10 6 m . The distance between the moon and the earth is 384,400 km."
" Q.35. During the phenomenon of aphelion, the approximate distance between the earth and the sun is: SSC CHSL 12/10/2020(Afternoon) ","['(a) 137 million km ', '(b) 152 million km ', '(c) 147 million km ', '(d) 142 million km ']",(b) 152 million km ,Sol.35.(b) 152 million km. Aphelion is the point of the Earth’s orbit that is farthest away from the Sun. P erihelion is the point of the Earth’s orbit that is nearest to the Sun.
 Q.36. The _____ is responsible for E arth's magnetic field. SSC CHSL 16/10/2020(Morning) ,"['(a) inner core ', '(b) mantle ', '(c) outer core ', '(d) crust ']",(c) outer core ,"Sol.36.(c) outer core. On Earth, flowing liquid metal in the outer core of the planet generates electric currents. The rotation of Earth on its axis causes these electric currents to form a magnetic fi eld which extends around the planet."
" Q.37. The process that moves, elevates or builds up portions of the earth’s crust is called: SSC CHSL 16/10/2020(Afternoon) ","['(a) denudation ', '(b) volcanism ', '(c) weathering ', '(d) diastrophism ']",(d) diastrophism ,Sol.37.(d) Diastrophism . Denudation is the process of wearing away the Earth's surface by weathering and erosion. Volcanism is the process of molten rock (magma) erupting onto the Earth's surface.
 Q.38. The bodies glowing i n the night sky are known as ______. SSC CGL 03/03/2020(Afternoon) ,"['(a) Celestial bodies ', '(b) Asteroids ', '(c) Planetarium ', '(d) Meteorite ']",(a) Celestial bodies ,"Sol.38.(a) Celestial bodies are objects in space, such as stars, planets, moons, and galaxies."
 Q.39. Lucifer is another name for the planet______. SSC CGL 03/03/2020(Evening) ,"['(a) Jupiter ', '(b) Mars ', '(c) Venus ', '(d) Saturn ']",(c) Venus ,"Sol.39.(c) Venus. Lucifer means “Light- bringer”. Other Planet Nickname - Ringed Planet (Saturn), Red Planet (Mars), Giant Planet (Jupiter)."
 Q.40. Planetary scientists call the thin gaseous envelope around the Moon as the ______. SSC CGL 04/03/2020(Morning) ,"['(a) lunar exosphere ', '(b) lunar stratosphere ', '(c) lunar thermosphere ', '(d) lunar endosphere ']",(a) lunar exosphere ,"Sol.40.(a) lunar exosphere bounded by the emptiness of space and the Moon’s surface , is an atmosphere so thin that atoms really collide. Chandrayaan-2 observed Argon-40 in the lunar exosphere."
 Q.41. How many degrees does the Earth rotate about its own axis in one hour? SSC CGL 06/03/2020(Afternoon) ,"['(a) 10 ', '(b) 20 ', '(c) 24 ', '(d) 15 ']",(d) 15 ,"Sol.41.(d) 15. On i ts axis, the earth rotates 360 degrees every 24 hours. Longitudes and Latitudes"
 Q.42. Which of the following sets of statements are correct about Inter Tropical Convergence Zone (ITCZ)? a. The ITCZ is a broad trough of low pressure in equatorial latitudes. b. This is where the northeast and the southeast trade winds converge. c. The ITCZ is the equatorial trough normally positioned about 5°N of the equator and remains there throughout the year. d. The ITCZ moves over to the plane of Ganga in Summer. SSC CPO 05/10/2023 (Afternoon) ,"['(a) Only a and c ', '(b) a, b and c ', '(c) Only b and c ', '(d) a, b and d ']","(d) a, b and d ","Sol.42.(d) a, b and d. Intertropical Convergence Zone (ITCZ) - The region that circles the Earth, near the equator, where the trade winds of the Northern and Southern Hemispheres come together. Seasonal shifts in the location of the ITCZ drastically affects rainfall in many equatorial nations, resulting in the wet and dry seasons of t he tropics rather than the cold and warm seasons of higher latitudes."
" Q.43. During October-November, the apparent movement of the sun is towards the __________. SSC MTS 18/05/2023 (Afternoon) ","['(a) North ', '(b) North-East ', '(c) North-West ', '(d) South ']",(d) South ,"Sol.43.(d) South. The position of the rising sun keeps on moving towards the south in the period from 21st June to 22nd December. This period is called Dakshinayan . From 22nd December to 21st June, the sun keeps on moving towards the north. This period is called Uttarayan."
 Q.44. The southern part of India lies in the _________ belt. SSC MTS 19/06/2023 (Afternoon ,"['(a) rain ', '(b) temperate ', '(c) polar ', '(d) warm ']",(d) warm ,"Sol.44.(d) Warm - The region between the Tropic of Cancer and the Tropic of Capricorn is characterized by hot temperatures, high humidity, and abundant rainfall."
 Q.45. T ropic of C ancer (23°30′ N) passes through__________ state of india. SSC CHSL 09/03/2023 (1st Shift) ,"['(a) Punjab ', '(b) Maharashtra ', '(c) Chhattisgarh ', '(d) Kerala ']",(c) Chhattisgarh ,"Sol.45.(c) Chhattisgarh. The Tropic of Cancer passes through eight states in India - Gujarat (Jasdan), Rajasthan (Kalinjarh), Madhya Pradesh (Shajapur), Chhattisgarh (Sonhat), Jharkhand (Lohardaga), West Bengal (Krishnanagar), Tripura (Udaipur) and Mizoram (Champhai)."
 Q.46. On which of the following two dates does the equinox fall? SSC CHSL 15/03/2023 (3rd Shift) ,"['(a) 21 June and 23 September ', '(b) 21 March and 21 June ', '(c) 21 March and 23 September ', '(d) 23 September and 22 December ']",(c) 21 March and 23 September ,"Sol.46.(c) 21 March and 23 September . Equinox is the situation when the equator receives the vertical rays of the Sun and day and night are equal. S pring e quinox - 21st March, Autumn equinox - 23 September. 21st June (winter solstice in Southern Hemisphere, Summer solstice in Northern hemisphere) - The rays of t he sun fall directly on the Tropic of Cancer. 22 December (Summer solstice in Southern hemisphere, winter solstice in Northern Hemisphere) - The rays of the sun fall directly on the Tropic of Capricorn."
" Q.47. From the north most t o south most point of India, what is the extent of India? SSC CHSL 17/03/2023 (4th Shift) ","['(a) 4109 km ', '(b) 2914 km ', '(c) 3214 km ', '(d) 3785 km ']",(c) 3214 km ,"Sol.47.(c) 3214 km. Extent of India: East to west (2,933 km), land frontier (15,200 km), coastline (7,516.6 km). The westernmost point (Ghuar Moti in Kutch). The easternmost point (Kibithu in Arunachal Pradesh). Indira Col (northernmost point). Indira Point (Great Nicobar Island, Andaman sea) is the Southernmost point of India while Kanyakumari is the southernmost point of the Indian Mainland."
 Q.48. What is the zone between the arctic circle and north pole called? SSC CHSL 21/03/2023 (1st Shift) ,"['(a) Torrid zone ', '(b) Frigid zone ', '(c) North temperate zone ', '(d) South temperate zone ']",(b) Frigid zone ,"Sol.48.(b) Frigid zone. The North Frigid Zone, between the North Pole at 90° N and the Arctic Circle at 66°33′48.7"" N, covers 4.12% of Earth's surface."
 Q.49. The 90 degree East Meridian does NOT pass through: SSC CPO 24/11/2020(Morning) ,"['(a) Meghalaya ', '(b) Sikkim ', '(c) Bhutan ', '(d) Bangladesh ']",(b) Sikkim ,Sol.49.(b) Sikkim. The 90 degree East Meridian passes through Assam and Meghalaya in India and it crosses Bhutan and Bangladesh.
 Q.50. 1° latitude is equal to approximately ______ km. SSC CHSL 16/10/2020(Afternoon) ,"['(a) 111 ', '(b) 145 ', '(c) 133 ', '(d) 122 ']",(a) 111 ,Sol.50.(a) 111 km. This distance decreases marginally as one travels to poles and increases marginally as one goes towards the equator.
 Q.51. Lines joining located at equal t ravel time from a common centre are called: SSC CHSL 21/10/2020(Morning) ,"['(a) Isohalines ', '(b) Isochrones ', '(c) Isobar ', '(d) Isobronts ']",(b) Isochrones ,Sol.51.(b) Isochrones . Isohaline - A line drawn on a map to indicate connecting points of equal salinity in the ocean. Isonomal - A line on a chart connecting points of equal abundance values of a plant species sampled in different sections of an area. Isobronts - A line drawn through geographical points at which a given phase of thunderstorm activity occurred simultaneously.
 Q.52. All parallel circles from the Equator to the poles are known as ______. SSC CHSL 26/10/2020(Evening) ,"['(a) Parallels of Latitude ', '(b) Arctic Circle ', '(c) Tropic of Cancer ', '(d) Antarctic Circle ']",(a) Parallels of Latitude ,"Sol.52.(a) Parallels of Latitude. The parallels of latitude refer to the angular distance, in degrees, minutes and seconds of a point north or south of the Equator."
 Q.53. Name the state capital located 530 metres above the sea level between 93 East longitude and 27 North latitude. SSC CGL 09/03/2020 (Evening) ,"['(a) Dispur ', '(b) Itanagar ', '(c) Patna ', '(d) Hyderabad ']",(b) Itanagar ,"Sol.53.(b) Itanagar (capital of Arunachal Pradesh). Other State Capital Latitude and Longitude - Patna (25 North, 85 East), Dispur (26 North, 91 East), Hyderabad (17 North, 78 East). Continents and Oceans"
 Q.54. Which of the following is the correct match between column-A and column-B? Column - A Column - B (Elements in earth (Total % in earth crust) crust) i. Oxygen a. 8% ii. Silicon b. 28% iii. Aluminium c. 47% iv. Iron d. 5% SSC Stenographer 12/10/2023 (Morning) ,"['(a) i-a, ii-b, iii-c, iv-d ', '(b) i-c, ii-a, iii-b, iv-d ', '(c) i-c, ii-b, iii-a, iv-d ', '(d) i-b, ii-a, iii-c, iv-d ']","(c) i-c, ii-b, iii-a, iv-d ","Sol.54.(c) i-c, ii-b, i ii-a, iv-d. Abundances of other Element in the Earth’s Crust: Calcium (Ca) - 3.63%, Sodium (Na) - 2.83%, Potassium (K) - 2.59%, Magnesium (Mg) - 2.09% and others - 1.41%. Earth has three layers: crust (upper layer), mantle (middle layer), and core (lower layer)."
 Q.55. Continental Shelf which is the shallowest part of the ocean has an average gradient of: SSC CPO 03/10/2023 (Morning) ,"['(a) 1° or even less ', '(b) 2° or even less ', '(c) 8° or even less ', '(d) 5° or even less ']",(a) 1° or even less ,"Sol.55.(a) 1° or even less. The Continental Shelf is the extended margin of each continent occupied by relatively shallow seas and gulfs. About Continental Shelf : The shelf typically ends at a very steep slope, called the shelf break. Their width varies globally, with an average of about 80 km, but c an be narrower or even absent in some regions, such as the coasts of Chile and the west coast of Sumatra."
 Q.56. The earth's perihelion occurs in: SSC CPO 03/10/2023 (Afternoon) ,"['(a) October ', '(b) January ', '(c) July ', '(d) September ']",(b) January ,Sol.56.(b) January. Perihelion - It is the point of t he Earth’s orbit t hat is nearest to the Sun. This always happens in early January about two weeks after the December Solstice. Aphelion - It is the point of the Earth’s orbit that is farthest away from the Sun. It always happens in early July about two weeks after the June solstice.
 Q.57. What is the name of the large supercontinent that existed 200 million years ago when all the continents were together ? SSC CPO 04/10/2023 (Afternoon) ,"['(a) Pangea ', '(b) Asia ', '(c) India ', '(d) America ']",(a) Pangea ,"Sol.57.(a) Pangea. Alfred Wegener propounded Continental Drift Theory in 1912. He proposed that the continents were once united into a single supercontinent called Pangaea (meaning all earth). The evidence in support of t he continental drift theory: Jigsaw Fit, Geological Fit, Tectonic Fit, Glacial Deposits, Fossil Evidence."
 Q.58. Living organisms have been on Earth for how much percent of Earth's history? SSC CPO 05/10/2023 (Evening) ,"['(a) 60% ', '(b) 40% ', '(c) 80% ', '(d) 20% ']",(c) 80% ,"Sol.58.(c) 80%. Taking Earth's age as nearly 4.6 Billion Years (BY), instead of 13.7 BY from the Big Bang, unicellular life appeared nearly 3.8 BY ago. This percentage is 3.8/4.6 X 100 = 82.6%, nearly."
" Q.59. Choose the correct statement(s) related to ‘continentality’. a. The sea exerts a moderating influence on climate. b. As the distance from the sea increases, the people experience extreme weather conditions. c. As one goes from the surface of the earth to higher altitudes, the atmosphere becomes less dense and temperature decreases. SSC CPO 05/10/2023 (Evening) ","['(a) b and c ', '(b) Only c ', '(c) a and c ', '(d) a and b ']",(d) a and b ,Sol.59.(d) a and b. C ontinentality - Found in inland areas. It is very hot during summers and very cold during winters. Continental climates are common between 40° and 70° north latitude and experience large temperature differences between day and night.
 Q.60. The Arabian Sea is an extension of which of the following oceans? SSC MTS 04/09/2023 (2nd Shift) ,"['(a) Pacific Ocean ', '(b) Southern Ocean ', '(c) Arctic Ocean ', '(d) Indian ocean ']",(d) Indian ocean ,Sol.60.(d) Indian ocean is the only ocean in the world which has been named after a country. The Indian Ocean bridges the gap between East and the West. The Western and Eastern parts are known a s the Arabian Sea and Bay of Bengal. Pacific Ocean - Largest and deepest ocean in the world.
 Q.61. What does El Niño refer to ? SSC MTS 06/09/2023 (1st Shift) ,"['(a) Hot water current ', '(b) Pressure water current ', '(c) High air pressure ', '(d) Low air pressur ']",(a) Hot water current ,"Sol.61.(a) Hot water current. The term E l Nino (Little Boy in Spanish) - Warming of the ocean surface, or above-average sea surface temperatures, in the central and eastern tropical Pacific Ocean on the coast of P eru. El n ino leads to weakening of trade winds in a region. La N ina (Little Girl in Spanish) - The periodic cooling of ocean surface temperatures in the central and east-central equatorial Pacific."
 Q.62. Which of the following oceans is surrounded by the continent of North America and South America to the east? SSC MTS 08/09/2023 (1st Shift) ,"['(a) Pacific Ocean ', '(b) Atlantic Ocean ', '(c) Indian Ocean ', '(d) Arctic Ocean ']",(a) Pacific Ocean ,"Sol.62.(a) Pacific Ocean (world’s largest and deepest ocean): It represents 45 percent of the global ocean surface. The International Date Line (established in 1884) passes through the mid-Pacific Ocean. Atlantic Ocean (S - shaped) : Deepest trench - Puerto Rico; The Sargasso sea, the only sea in the world without any shore (land boundary), is present in the Atlantic ocean. Indian Ocean (the warmest) : Deepest trench - Sunda (or Java trench). The Antarctic Ocean (Southern Ocean) is known for i ts turbulent waters."
 Q.63. Which of the following oceans extends into the Mediterranean Sea ? SSC MTS 08/09/2023 (3rd Shift) ,"['(a) Indian Ocean ', '(b) Pacific Ocean ', '(c) Atlantic Ocean ', '(d) Arctic Ocean ']",(c) Atlantic Ocean ,"Sol.63.(c) Atlantic Ocean is the 2nd largest ocean in the world. The Mediterranean is an intercontinental sea spread between Europe, North Africa, and Western Asia and connected to the Atlantic Ocean through the strait of Gibraltar. Indian Ocean - 3rd largest Ocean in the world. Pacific Ocean - Largest ocean in the world. Arctic Ocean - Smallest ocean in the world."
 Q.64. The mohororvicic (Moho) discontinuity separates ? SSC MTS 13/09/2023 (3rd Shift) ,"[""(a) Earth's lithosphere and asthenosphere "", ""(b) Earth's atmosphere and hydrosphere "", ""(c) Earth's crust and the inner core "", ""(d) Earth's crust and the mantle ""]",(d) Earth's crust and the mantle ,Sol.64.(d) Earth's crust and the mantle. Moho discontinuity - It occurs at an average depth of about 8 kilometers beneath the ocean basins and 32 kilometers beneath continental surfaces.
 Q.65. The periodic growth and drop of sea water level is known as: SSC CHSL 11/08/2023 (1st shift) ,"['(a) wave ', '(b) sea current ', '(c) tide ', '(d) flood ']",(c) tide ,"Sol.65.(c) Tide: Forms when there is an increase or decrease in the sea level that happens periodically because of the gravitational force of the moon and sun. Types of Tides: Tides Based on Frequency - Semi-Diurnal Tides, Diurnal Tides, Mixed. Tides Based on the Position of Earth, Sun, and the Moon - Spring Tides, Neap Tides."
